id,object,group,description,variable_type,custom_type,address,offsets,bit_start,bit_length,string_length,unicode,path,dropdown
24188,Club,Finances,Tax - Nl Employee,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x3C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Nl Employee,
12599,Club,Finances,Tax - Nl Employer,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x40 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Nl Employer,
24192,Club,Finances,Tax - Pension Employee,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x44 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Pension Employee,
24191,Club,Finances,Tax - Pension Employer,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x48 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Pension Employer,
24190,Club,Finances,Tax - Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x4C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Transfer Tax,
24189,Club,Finances,Tax - Internal Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x50 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Internal Transfer Tax,
24083,Club,Finances,Tax - External Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x54 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - External Transfer Tax,
24193,Club,Finances,Tax - Ticket Entertainment Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x60 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Ticket Entertainment Tax,
11850,Club,Finances,Tax - Other,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x64 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Other,
24194,Club,Finances,Tax - Brazilian Ticket Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x68 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Brazilian Ticket Tax,
24195,Club,Finances,Tax - Foreign Player Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x6C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Foreign Player Transfer Tax,
24196,Club,Finances,Tax - Domestic Player Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x70 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Tax - Domestic Player Transfer Tax,
12600,Club,Finances,Transfer Expenditure,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x24 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Transfer Expenditure,
11615,Club,Finances,Travel Costs,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x8C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Travel Costs,
12609,Club,Finances,Youth Setup,Custom,United Kingdom Pound,ptrClub,cluo.Cetm+0x84 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Month > > Youth Setup,
24198,Club,Finances,Agent Fees,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x80 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Agent Fees,
